city,cityId,locality,localityId,bhk_numbers,bhkId,propertyType_name,propertyType_id,No.of Bathroom,bathroomId,amenities_name,amenities_id,minArea,maxArea,builderid,buildername,minPrice,maxPrice
Bangalore,1,,,,,,,,,,,980,1223,3216,S And S Properties,3895000,4861000
Bangalore,1,,,,,,,,,,,1200,4200,3216,S And S Properties,4560000,15900000
Bangalore,1,,,,,,,,,,,1200,1200,646,DRA Homes,14400000,14400000
Bangalore,1,,,,,,,,,,,1200,2400,139,Pionier Developers,9469000,18900000
Bangalore,1,,,,,,,,,,,1657,1657,693,Ranka Group,16900000,16900000
Bangalore,1,,,,,,,,,,,2350,2350,3226,Ieglo Developers,11500000,11500000
Bangalore,1,,,,,,,,,,,2720,2720,3226,Ieglo Developers,13800000,13800000
Bangalore,1,,,,,,,,,,,1200,2400,182,42 Estates,2990000,5997000
Bangalore,1,,,,,,,,,,,1200,4000,3227,Akshaya Estates,2280000,7600000
Bangalore,1,,,,,,,,,,,1200,1800,461,ASN Shelters,2160000,3240000
Bangalore,1,,,,,,,,,,,1200,2400,901,SLV Developers,1020000,2040000
Bangalore,1,,,,,,,,,,,1163,2400,27,Shriram Properties,4652000,9600000
Bangalore,1,,,,,,,,,,,1025,1425,620,Saroj Group,4920000,6840000
Bangalore,1,,,,,,,,,,,1200,2400,3229,BESCOM Housing Society,1800000,3600000
Bangalore,1,,,,,,,,,,,1200,1500,3230,Cleartitle Properties,4200000,5250000
Bangalore,1,,,,,,,,,,,2300,2300,3230,Cleartitle Properties,0,0
Bangalore,1,,,,,,,,,,,1200,2400,45,Reliaable Developers,5640000,11300000
Bangalore,1,,,,,,,,,,,1200,1200,3231,Bluejay Enterprises,2400000,2400000
Bangalore,1,,,,,,,,,,,2639,2800,3226,Ieglo Developers,11900000,12600000
Bangalore,1,,,,,,,,,,,1200,4000,802,Enrich Properties,660000,2200000
Bangalore,1,,,,,,,,,,,2650,2800,3226,Ieglo Developers,13500000,14300000
Bangalore,1,,,,,,,,,,,1200,1650,3232,Global builder and Developer,1678000,2308000
Bangalore,1,,,,,,,,,,,1200,2400,3235,GNR,718000,1437000
Bangalore,1,,,,,,,,,,,884,4412,3233,Greenscale Realty Ventures LLP,1237000,6176000
Bangalore,1,,,,,,,,,,,600,2400,3234,Hirakamani Properties Pvt Ltd,619000,2479000
Bangalore,1,,,,,,,,,,,691,1180,3236,Hita Infra,2626000,4484000
Bangalore,1,,,,,,,,,,,0,0,693,Ranka Group,0,0
Bangalore,1,,,,,,,,,,,1110,1335,3236,Hita Infra,4995000,6007000
Bangalore,1,,,,,,,,,,,1200,1500,3236,Hita Infra,6000000,7500000
Bangalore,1,,,,,,,,,,,0,0,3236,Hita Infra,0,0
Bangalore,1,,,,,,,,,,,1500,1800,782,Upkar Developers,1649000,1978000
Bangalore,1,,,,,,,,,,,1027,1134,3236,Hita Infra,3389000,3389000
Bangalore,1,,,,,,,,,,,920,1161,3236,Hita Infra,3036000,3831000
Bangalore,1,,,,,,,,,,,850,1730,782,Upkar Developers,2295000,4672000
Bangalore,1,,,,,,,,,,,1200,1500,782,Upkar Developers,3000000,3750000
Bangalore,1,,,,,,,,,,,1200,1200,3237,Mahalakshmi Projects,3840000,3840000
Bangalore,1,,,,,,,,,,,600,4000,3238,Sri Datri Developers And Promoters,2400000,16000000
Bangalore,1,,,,,,,,,,,1200,1200,3240,NCN Developers,4170000,4170000
Bangalore,1,,,,,,,,,,,1200,2400,3239,Aastha Properties,599000,1198000
Bangalore,1,,,,,,,,,,,1200,2400,3241,Nuthan Estates,2640000,5280000
Bangalore,1,,,,,,,,,,,1200,1200,3239,Aastha Properties,1643000,1643000
Bangalore,1,,,,,,,,,,,1200,1200,1152,Ridhi Ventures,1560000,1506000
Bangalore,1,,,,,,,,,,,1200,2000,3239,Aastha Properties,1198000,1998000
Bangalore,1,,,,,,,,,,,1200,1500,1379,GCN Group,3420000,427500000
Bangalore,1,,,,,,,,,,,1200,3000,3239,Aastha Properties,442000,1647000
Bangalore,1,,,,,,,,,,,1200,1500,1889,Samruddhi Housing,5400000,6750000
Bangalore,1,,,,,,,,,,,1200,1200,1889,Samruddhi Housing,1500000,1500000
Bangalore,1,,,,,,,,,,,1673,8056,3230,Cleartitle Properties,4684000,22600000
Bangalore,1,,,,,,,,,,,1200,2680,3242,Brindavana Properties,2760000,6164000
Bangalore,1,,,,,,,,,,,1218,2449,1,Prestige Group,8988000,15900000
Bangalore,1,,,,,,,,,,,600,1200,3230,Cleartitle Properties,1050000,2100000
Bangalore,1,,,,,,,,,,,1205,1745,620,Saroj Group,5512000,7983000
Bangalore,1,,,,,,,,,,,1200,1200,3230,Cleartitle Properties,0,0
Bangalore,1,,,,,,,,,,,1200,1500,3243,Anjanadhri Builders And Developers,3750000,4500000
Bangalore,1,,,,,,,,,,,1185,1835,620,Saroj Group,4620000,7155000
Bangalore,1,,,,,,,,,,,1200,1200,3230,Cleartitle Properties,2220000,2220000
Bangalore,1,,,,,,,,,,,1334,4205,6,Assetz Property,18100000,60700000
Bangalore,1,,,,,,,,,,,1200,1500,3230,Cleartitle Properties,3840000,4800000
Bangalore,1,,,,,,,,,,,1150,1710,620,Saroj Group,2930000,4360000
Bangalore,1,,,,,,,,,,,1390,3603,2548,Anish Projects,5361000,13800000
Bangalore,1,,,,,,,,,,,1080,1610,620,Saroj Group,4536000,6762000
Bangalore,1,,,,,,,,,,,966,1904,3244,ETA Star Property Developers Ltd,8370000,16400000
Bangalore,1,,,,,,,,,,,1140,1325,620,Saroj Group,4769000,5543000
Bangalore,1,,,,,,,,,,,900,1500,3245,Kartheekeya Properties,1439000,2398000
Bangalore,1,,,,,,,,,,,1150,1710,620,Saroj Group,5290000,7866000
Bangalore,1,,,,,,,,,,,1095,1575,620,Saroj Group,3942000,5670000
Bangalore,1,,,,,,,,,,,1200,2400,3246,Durga Shree Ventures,750000,1500000
Bangalore,1,,,,,,,,,,,1200,2000,3247,MDS Properties,1980000,3380000
Bangalore,1,,,,,,,,,,,1200,2400,3248,Mithra Builders And Developers,4800000,9600000
Bangalore,1,,,,,,,,,,,1075,1225,620,Saroj Group,4594000,5236000
Bangalore,1,,,,,,,,,,,900,1450,620,Saroj Group,4410000,7105000
Bangalore,1,,,,,,,,,,,1200,2400,3250,Nakshatra Ventures,1440000,2880000
Bangalore,1,,,,,,,,,,,1200,2400,3251,SD Housing,2760000,5520000
Bangalore,1,,,,,,,,,,,1080,2400,3252,Sirimane Properties,3780000,8400000
Bangalore,1,,,,,,,,,,,600,4000,3253,Sahakaranagara House Building Society,834000,5560000
Bangalore,1,,,,,,,,,,,1200,2400,463,Sizzle Properties,2100000,4200000
Bangalore,1,,,,,,,,,,,1080,1310,1937,Sai Associates,2499000,3031000
Bangalore,1,,,,,,,,,,,1045,1320,620,Saroj Group,3762000,4752000
Bangalore,1,,,,,,,,,,,1200,1500,463,Sizzle Properties,2100000,2625000
Bangalore,1,,,,,,,,,,,1270,1840,620,Saroj Group,7453000,10700000
Bangalore,1,,,,,,,,,,,900,1200,463,Sizzle Properties,2160000,2880000
Bangalore,1,,,,,,,,,,,1050,2400,463,Sizzle Properties,4095000,9360000
Bangalore,1,,,,,,,,,,,841,8880,620,Saroj Group,1135000,12000000
Bangalore,1,,,,,,,,,,,1000,3800,463,Sizzle Properties,1200000,4560000
Bangalore,1,,,,,,,,,,,1020,1630,620,Saroj Group,3364000,5377000
Bangalore,1,,,,,,,,,,,1200,2400,463,Sizzle Properties,1020000,2040000
Bangalore,1,,,,,,,,,,,1245,1645,620,Saroj Group,4108000,5428000
Bangalore,1,,,,,,,,,,,900,1200,463,Sizzle Properties,3870000,5160000
Bangalore,1,,,,,,,,,,,1100,1620,620,Saroj Group,5060000,7452000
Bangalore,1,,,,,,,,,,,600,1500,463,Sizzle Properties,1440000,3600000
Bangalore,1,,,,,,,,,,,1200,2400,3217,Shriram Land,1800000,3600000
Bangalore,1,,,,,,,,,,,900,2400,463,Sizzle Properties,1035000,2760000
Bangalore,1,,,,,,,,,,,1200,5000,3217,Shriram Land,658000,2745000
Bangalore,1,,,,,,,,,,,813,3810,463,Sizzle Properties,1016000,4763000
Bangalore,1,,,,,,,,,,,4000,5400,3118,SLV Housing Development Corporation,10600000,14300000
Bangalore,1,,,,,,,,,,,950,1500,463,Sizzle Properties,2090000,3300000
Bangalore,1,,,,,,,,,,,1200,1500,3257,Mitta Group,1920000,2400000
Bangalore,1,,,,,,,,,,,1200,1500,463,Sizzle Properties,1740000,2175000
Bangalore,1,,,,,,,,,,,1200,4000,1670,BRC,1197000,3992000
Bangalore,1,,,,,,,,,,,1200,2400,3118,SLV Housing Development Corporation,3000000,6000000
Bangalore,1,,,,,,,,,,,1200,1200,463,Sizzle Properties,1140000,1140000
Bangalore,1,,,,,,,,,,,1200,2400,3118,SLV Housing Development Corporation,2399000,4798000
Bangalore,1,,,,,,,,,,,0,0,463,Sizzle Properties,0,0
Bangalore,1,,,,,,,,,,,1200,2400,3118,SLV Housing Development Corporation,2700000,5400000
Bangalore,1,,,,,,,,,,,3156,5137,201,M1 Homes,20100000,32700000
Bangalore,1,,,,,,,,,,,600,4000,3118,SLV Housing Development Corporation,1980000,13200000
Bangalore,1,,,,,,,,,,,900,2400,463,Sizzle Properties,1575000,4200000
Bangalore,1,,,,,,,,,,,1200,12000,3258,Kuteera Realty India Pvt Ltd,1117000,111000
Bangalore,1,,,,,,,,,,,1200,2400,3118,SLV Housing Development Corporation,2340000,4680000
Bangalore,1,,,,,,,,,,,1200,2400,3259,Little Paradise Builders And Developers,1800000,3600000
Bangalore,1,,,,,,,,,,,0,0,463,Sizzle Properties,0,0
Bangalore,1,,,,,,,,,,,0,0,463,Sizzle Properties,0,0
Bangalore,1,,,,,,,,,,,1500,1500,3260,Constructo Properties,2998000,2998000
Bangalore,1,,,,,,,,,,,1170,1790,165,VRR Builders,4329000,6623000
Bangalore,1,,,,,,,,,,,0,0,463,Sizzle Properties,0,0
Bangalore,1,,,,,,,,,,,0,0,1417,VR Builders And Developers,0,0
Bangalore,1,,,,,,,,,,,999,2389,463,Sizzle Properties,1625000,1440000
Bangalore,1,,,,,,,,,,,680,1800,3261,Ikya Developers,1258000,3330000
Bangalore,1,,,,,,,,,,,900,1200,463,Sizzle Properties,2700000,3600000
Bangalore,1,,,,,,,,,,,1200,2400,1882,Jay Pee Developers,6900000,13800000
Bangalore,1,,,,,,,,,,,1000,2680,463,Sizzle Properties,13900000,37200000
Bangalore,1,,,,,,,,,,,0,0,1882,Jay Pee Developers,0,0
Bangalore,1,,,,,,,,,,,1200,1200,3262,Ashraya Group,3480000,3480000
Bangalore,1,,,,,,,,,,,1200,1200,3263,Smyle Properties,1440000,1440000
Bangalore,1,,,,,,,,,,,1200,2400,3264,Sri Srinivasa Developer,2160000,4320000
Bangalore,1,,,,,,,,,,,2199,5284,3266,Sunland Ventures,6157000,14800000
Bangalore,1,,,,,,,,,,,1200,4000,3267,Swarna Bhoomi Housing Co operative Society,1308000,4360000
Bangalore,1,,,,,,,,,,,1500,1500,3269,Taapasi Properties,6975000,6975000
Bangalore,1,,,,,,,,,,,1417,2092,1404,Reputed Builder,1912000,2824000
Bangalore,1,,,,,,,,,,,600,1200,3270,Vivasv Properties,1200000,2400000
Bangalore,1,,,,,,,,,,,1200,1500,584,Vivansaa Group,3800000,4750000
Bangalore,1,,,,,,,,,,,1200,1500,3293,Apranje Estates Ltd,2400000,3000000
Bangalore,1,,,,,,,,,,,1861,1861,3293,Apranje Estates Ltd,27400000,27400000
Bangalore,1,,,,,,,,,,,1200,2500,3293,Apranje Estates Ltd,2154000,4488000
Bangalore,1,,,,,,,,,,,1875,1875,3293,Apranje Estates Ltd,32400000,32400000
Bangalore,1,,,,,,,,,,,1200,1500,3293,Apranje Estates Ltd,1554000,1943000
Bangalore,1,,,,,,,,,,,1604,2136,3293,Apranje Estates Ltd,0,0
Bangalore,1,,,,,,,,,,,833,3106,3217,Shriram Land,1124000,4190000
Bangalore,1,,,,,,,,,,,1200,5000,3293,Apranje Estates Ltd,2160000,9000000
Bangalore,1,,,,,,,,,,,530,961,3298,Shriline Properties,1696000,2708000
Bangalore,1,,,,,,,,,,,2701,4147,3293,Apranje Estates Ltd,21600000,33200000
Bangalore,1,,,,,,,,,,,1328,2079,3299,Best Properties,2921000,4573000
Bangalore,1,,,,,,,,,,,760,2217,3300,SLV Infra Projects,0,0
Bangalore,1,,,,,,,,,,,1200,3000,901,SLV Developers,3600000,9000000
Bangalore,1,,,,,,,,,,,819,7886,3300,SLV Infra Projects,3276000,31500000
Bangalore,1,,,,,,,,,,,1200,2000,3300,SLV Infra Projects,1920000,3200000
Bangalore,1,,,,,,,,,,,1101,2697,3302,Marg Darshan Infrastructure,2201000,5391000
Bangalore,1,,,,,,,,,,,2349,3326,3303,Cardinal Energy And Infrastructure Pvt Ltd,34000000,48200000
