city,cityId,locality,localityId,bhk_numbers,bhkId,propertyType_name,propertyType_id,No.of Bathroom,bathroomId,amenities_name,amenities_id,minArea,maxArea,builderid,buildername,minPrice,maxPrice
Bangalore,1,,,,,,,,,,,1161,1668,1146,Navajyothi Construction,6370000,9152000
Bangalore,1,,,,,,,,,,,1100,1300,899,Lucky Constructions,5225000,6175000
Bangalore,1,,,,,,,,,,,1050,1230,1407,Laavanya Smart Homes,6800000,7900000
Bangalore,1,,,,,,,,,,,1109,1761,2624,HS And RS Residential Projects,9426000,15000000
Bangalore,1,,,,,,,,,,,1235,1585,2626,Greennesto Builders,8570000,10900000
Bangalore,1,,,,,,,,,,,1086,1273,2628,DB Infra Developers,4995000,5855000
Bangalore,1,,,,,,,,,,,1221,1437,807,Charith Infrastructure,4866000,5727000
Bangalore,1,,,,,,,,,,,684,783,1111,Modern Spaaces,2599000,2975000
Bangalore,1,,,,,,,,,,,950,1470,2632,Aban Developers,0,0
Bangalore,1,,,,,,,,,,,1678,2249,668,Abhyudaya Developers,0,0
Bangalore,1,,,,,,,,,,,1094,1621,654,5 Elements Realty,5095000,7308000
Bangalore,1,,,,,,,,,,,1200,1200,1127,Sree Adithya Developers,0,0
